SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,KMA_LAT,KMA_LON,KMA_CAT,KMA_WIND,KMA_PRES,KMA_R50_DIR,KMA_R50_LONG,KMA_R50_SHORT,KMA_R30_DIR,KMA_R30_LONG,KMA_R30_SHORT,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR,in_scs,vmax,pmin
1979126N04148,1979,26,WP,MM,DOT,1979-05-06 00:00:00,TS,4.0,147.5,,, ,main,683,683,O_________OO___,jtwc_wp,WP041979,4.0,147.5, , ,15.0,,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.0,147.5,TC,15, ,4.0,147.5,1,15, , , , , , , , , , , , , , , , , , , , , , , , , , ,10,270,False,15.0,
1979126N04148,1979,26,WP,MM,DOT,1979-05-06 06:00:00,TS,4.0,146.5,,, ,main,683,683,O_________OP___,jtwc_wp,WP041979,4.0,146.5, , ,15.0,,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.0,146.5,TC,15, ,4.1,146.4,1,15, , , , , , , , , , , , , , , , , , , , , , , , , , ,11,275,False,15.0,
1979126N04148,1979,26,WP,MM,DOT,1979-05-06 12:00:00,TS,4.1,145.4,,, ,main,707,707,O_________OO___,jtwc_wp,WP041979,4.1,145.4, , ,15.0,,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.1,145.4,TC,15, ,4.1,145.4,1,15, , , , , , , , , , , , , , , , , , , , , , , , , , ,10,275,False,15.0,
1979126N04148,1979,26,WP,MM,DOT,1979-05-06 18:00:00,TS,4.2,144.4,,, ,main,747,747,O_________OP___,jtwc_wp,WP041979,4.2,144.4, , ,15.0,,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.2,144.4,TC,15, ,4.2,144.4,1,15, , , , , , , , , , , , , , , , , , , , , , , , , , ,10,275,False,15.0,
1979126N04148,1979,26,WP,MM,DOT,1979-05-07 00:00:00,TS,4.3,143.3,,, ,main,805,800,O_________OO___,jtwc_wp,WP041979,4.3,143.3, , ,15.0,,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.3,143.3,TC,15, ,4.3,143.3,1,15, , , , , , , , , , , , , , , , , , , , , , , , , , ,11,280,False,15.0,
1979126N04148,1979,26,WP,MM,DOT,1979-05-07 06:00:00,TS,4.5,142.1,,, ,main,797,795,O_________OP___,jtwc_wp,WP041979,4.5,142.1, , ,15.0,,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.5,142.1,TC,15, ,4.6,142.2,1,15, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,285,False,15.0,
1979126N04148,1979,26,WP,MM,DOT,1979-05-07 12:00:00,TS,4.9,141.0,,, ,main,792,786,O_________OO___,jtwc_wp,WP041979,4.9,141.0, , ,15.0,,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.9,141.0,TC,15, ,4.9,141.0,1,15, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,290,False,15.0,
1979126N04148,1979,26,WP,MM,DOT,1979-05-07 18:00:00,TS,5.3,139.8,,, ,main,793,775,O_________OP___,jtwc_wp,WP041979,5.3,139.8, , ,20.0,,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.3,139.8,TC,20, ,5.2,139.7,1,18, , , , , , , , , , , , , , , , , , , , , , , , , , ,13,280,False,20.0,
1979126N04148,1979,26,WP,MM,DOT,1979-05-08 00:00:00,TS,5.2,138.4,,, ,main,727,680,O_________OO___,jtwc_wp,WP041979,5.2,138.4, , ,20.0,,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.2,138.4,TC,20, ,5.2,138.4,1,20, , , , , , , , , , , , , , , , , , , , , , , , , , ,15,260,False,20.0,
1979126N04148,1979,26,WP,MM,DOT,1979-05-08 06:00:00,TS,4.8,136.8,,, ,main,630,597,O_________OP___,jtwc_wp,WP041979,4.8,136.8, , ,20.0,,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.8,136.8,TC,20, ,4.8,136.9,1,20, , , , , , , , , , , , , , , , , , , , , , , , , , ,15,250,False,20.0,
